"ajal, heywan, candar",n,hayvan,
"asîman, ezman",n,gökyüzü,
"ba hatin, gobilîn",v,esmek,
"bang kirin, gazî kirin",v,çağırmak,
"bedew,spehî",adj,güzel,
"belav kirin,parve kirin",v,paylaşmak,<b>Hevoka Mînak - Örnek Cümle</b><br>Min îro tiştek belav kir.<br>Ben bugün bir şey paylaştım.
"berdewam kirin, domîn",v,devam etmek,
"bermalî,kevanî",n,ev hanımı,<b>Hevoka Mînak - Örnek Cümle</b><br>Mala bê kevanî bê xweyî ye<br>Hanımı olmayan bir ev sahipsizdir.
"bexşandin, efû kirin",v,affetmek,
"beyanî baş, rojbaş",exp,günaydın,
"bi xêr hatin",exp,hoşgeldin,
"bîbî, met",n,hala,Meta min jiyana xwe ji dest da. <br> Halam hayatını kaybetti. (Met)
"carina,carna",belirtisiz zamir,bazen,
"dadger, dadwer",n,hakim,
"darîkirn, mêrandin",v,göstermek,
"daşir, avdestxan",n,tuvalet,
"derew kirin, vir kirin",v,yalan söylemek,
"derew, vir",n,yalan,
"dildarî bûn, evîndar bûn",v,aşık olmak,
"durist, rast",n,"doğru",
"erkedar, peywirdar",n,görevli,
"erê, belê",exp,evet,
"ez baş im, spas dikim",exp,"iyiyim, teşekkür ederim.",
"ez ne pir baş im",exp,pek iyi değilim.,
"ez nexweş im",exp,ben hastayım.,
"ferman kirin, emir kirin",v,emretmek,
"fetisîn, xeniqîn",v,boğulmak,
"fikirîn, hizirîn",v,düşünmek,
"gerînende, birêveber",n,müdür,
"giş,tev",belirtisiz zamir,bütün,
"guh dan, guhdarî kirin",v,dinlemek,
"hemî,hemû",belirtisiz zamir,"hepsi,tüm",
"her bijî",exp,bravo/yaşa,<b>Hevoka Mînak - Örnek Cümle</b><br>Her bijî zimanê Kurdî!<br>Yaşasın Kürt dili!
"hin,hinek",belirtisiz zamir,"bazı,biraz",
"i bi xeter, bi talûke",söz öbeği,tehlikeli,
"kin,kurt",adj,kısa,
"kirêt,sik",adj,çirkin,
"kêm,hindik",adv,az,
"lez kirin, lezîn",v,acele etmek,
"ling, pê",n,ayak,
"lêdan, jenîn",v,çalmak (müzik),
"mam, ap",n,amca,<b>Hevoka Mînak - Örnek Cümle</b><br>Apê min çûye kar.<br>Amcam işe gitmiş. (Ap)
"mezin bûn, gir bûn",v,büyümek,
"mezin,gir",adj,büyük,
"mijûl, tijî",sıfat,"meşgul, dolu",
"ne xirab im",exp,fena değilim.,
"nebe,nebê,nebî",part,sakın,<b>Hevoka Mînak - Örnek Cümle</b><br>Nebe tu werî<br>Sakın gelmeyesin/gelme!
"nîşan dan, rayî kirin",v,göstermek,
"peyda kirin, dîtin",v,bulmak,
"pir,zef,gelek",adv,çok,
"piçekî westiyayî me",exp,biraz yorgunum.,
"pênivîs, pênûs",n,kalem,
"qaşo,qaşokî",adj,"sözde,güyâ",<b>Hevoka Mînak - Örnek Cümle</b><br>Qaşo tu yê bihatayî.<br>Sözde gelecektin.
"qeresî, gêlaz",n,kiraz,
"qevizîn, hilavêtin",v,atlamak,
"rave kirin, daxuyandin",v,açıklamak,
"rawestîn, sekinîn",v,beklemek,
"rojbaş",exp,günaydın,<b>Hevoka Mînak - Örnek Cümle</b><br>Rojbaş Serhat!<br>Günaydın Serhat!
"sef, sinif",n,sınıf,
"sifir, tine",n,sıfır,
